store_id,product_id,quantity
1,1,473
1,2,49
1,3,212
1,4,200
1,5,173
1,6,608
1,7,985
1,8,712
1,9,218
1,10,154
1,11,31
1,12,764
1,13,699
1,14,492
1,15,831
1,16,989
1,17,211
1,18,958
1,19,163
1,20,801
1,21,893
1,22,804
1,23,422
1,24,690
1,25,722
1,26,17
1,27,736
1,28,33
1,29,598
1,30,688
1,31,559
1,32,11
1,33,32
1,34,37
1,35,64
1,36,24
1,37,974
1,38,331
1,39,11
1,40,35
1,41,357
1,42,59
1,43,607
1,44,279
1,45,626
1,46,173
1,47,353
1,48,33
1,49,315
1,50,927
1,51,513
1,52,33
1,53,963
1,54,780
1,55,511
1,56,230
1,57,269
1,58,894
1,59,988
1,60,48
1,61,33
1,62,672
1,63,392
1,64,399
1,65,572
1,66,788
1,67,188
1,68,852
1,69,866
1,70,999
1,71,963
1,72,306
1,73,70
1,74,965
1,75,22
1,76,576
1,77,922
1,78,863
1,79,763
1,80,160
1,81,947
1,82,59
1,83,136
1,84,745
1,85,19
1,86,766
1,87,517
1,88,390
1,89,39
1,90,222
1,91,420
1,92,418
1,93,841
1,94,33
1,95,898
1,96,26
1,97,354
1,98,366
1,99,30
1,100,35
1,101,237
1,102,958
1,103,12
1,104,10
1,105,735
1,106,18
1,107,965
1,108,672
1,109,489
1,110,325
1,111,12
1,112,313
1,113,645
1,114,620
1,115,23
1,116,540
1,117,23
1,118,695
1,119,828
1,120,597
1,121,560
1,122,836
1,123,889
1,124,508
1,125,20
1,126,572
1,127,342
1,128,466
1,129,170
1,130,37
1,131,107
1,132,612
1,133,44
1,134,736
1,135,201
1,136,17
1,137,566
1,138,220
1,139,42
1,140,497
1,141,821
1,142,623
1,143,646
1,144,997
1,145,350
1,146,660
1,147,998
1,148,620
1,149,485
1,150,510
1,151,588
1,152,409
1,153,916
1,154,406
1,155,905
1,156,23
1,157,24
1,158,762
1,159,221
1,160,996
1,161,72
1,162,509
1,163,84
1,164,48
1,165,945
1,166,792
1,167,48
1,168,650
1,169,18
1,170,553
1,171,636
1,172,81
1,173,603
1,174,571
1,175,806
1,176,842
1,177,504
1,178,560
1,179,672
1,180,843
1,181,459
1,182,770
1,183,469
1,184,706
1,185,917
1,186,29
1,187,710
1,188,509
1,189,633
1,190,230
1,191,645
1,192,67
1,193,462
1,194,45
1,195,498
1,196,140
1,197,125
1,198,231
1,199,10
1,200,420
1,201,536
1,202,744
1,203,904
1,204,521
1,205,985
1,206,589
1,207,28
1,208,671
1,209,47
1,210,975
1,211,530
1,212,27
1,213,394
1,214,32
1,215,30
1,216,300
1,217,806
1,218,817
1,219,33
1,220,489
1,221,221
1,222,36
1,223,776
1,224,214
1,225,234
1,226,27
1,227,37
1,228,240
1,229,26
1,230,225
1,231,32
1,232,773
1,233,38
1,234,577
1,235,560
1,236,624
1,237,153
1,238,44
1,239,758
1,240,539
1,241,796
1,242,48
1,243,872
1,244,717
1,245,652
1,246,782
1,247,444
1,248,780
1,249,686
1,250,402
1,251,533
1,252,340
1,253,583
1,254,496
1,255,749
1,256,74
1,257,113
1,258,438
1,259,769
1,260,107
1,261,372
1,262,717
1,263,934
1,264,650
1,265,838
1,266,670
1,267,220
1,268,44
1,269,520
1,270,603
1,271,600
1,272,231
1,273,521
1,274,620
1,275,677
1,276,718
1,277,789
1,278,653
1,279,717
1,280,940
1,281,114
1,282,858
1,283,40
1,284,794
1,285,531
1,286,234
1,287,617
1,288,711
1,289,42
1,290,815
1,291,13
1,292,899
1,293,225
1,294,379
1,295,715
1,296,958
1,297,195
1,298,653
1,299,790
1,300,609
1,301,127
1,302,141
1,303,893
1,304,907
1,305,993
1,306,40
1,307,441
1,308,987
1,309,35
1,310,444
1,311,899
1,312,49
1,313,909
1,314,722
1,315,509
1,316,464
1,317,422
1,318,543
1,319,114
1,320,607
1,321,514
1,322,45
1,323,49
1,324,323
1,325,242
1,326,88
1,327,435
1,328,455
1,329,600
1,330,823
1,331,351
1,332,905
1,333,685
1,334,98
1,335,750
1,336,701
1,337,208
1,338,76
1,339,980
1,340,680
1,341,765
1,342,47
1,343,447
1,344,26
1,345,740
1,346,10
1,347,777
1,348,899
1,349,34
1,350,624
1,351,33
1,352,13
1,353,954
1,354,647
1,355,169
1,356,824
1,357,338
1,358,963
1,359,634
1,360,23
1,361,366
1,362,524
1,363,227
1,364,716
1,365,819
1,366,691
1,367,681
1,368,447
1,369,207
1,370,821
1,371,479
1,372,505
1,373,508
1,374,241
1,375,544
1,376,598
1,377,170
1,378,767
1,379,675
1,380,542
1,381,33
1,382,927
1,383,386
1,384,916
1,385,17
1,386,47
1,387,189
1,388,676
1,389,517
1,390,19
1,391,740
1,392,720
1,393,260
1,394,189
1,395,823
1,396,37
1,397,715
1,398,24
1,399,195
1,400,328
1,401,968
1,402,16
1,403,774
1,404,19
1,405,753
1,406,116
1,407,273
1,408,261
1,409,968
1,410,38
1,411,649
1,412,353
1,413,990
1,414,48
1,415,526
1,416,603
1,417,728
1,418,802
1,419,311
1,420,772
1,421,28
1,422,824
1,423,531
1,424,248
1,425,584
1,426,674
1,427,33
1,428,114
1,429,853
1,430,641
1,431,558
1,432,302
1,433,938
1,434,38
1,435,925
1,436,623
1,437,931
1,438,80
1,439,279
1,440,829
1,441,836
1,442,708
1,443,695
1,444,908
1,445,520
1,446,572
1,447,24
1,448,933
1,449,27
1,450,26
1,451,836
1,452,291
1,453,733
1,454,735
1,455,989
1,456,517
1,457,496
1,458,320
1,459,189
1,460,150
1,461,992
1,462,819
1,463,460
1,464,944
1,465,967
1,466,41
1,467,642
1,468,33
1,469,797
1,470,444
1,471,393
1,472,242
1,473,246
1,474,317
1,475,230
1,476,689
1,477,261
1,478,824
1,479,545
1,480,771
1,481,36
1,482,33
1,483,115
1,484,10
1,485,853
1,486,108
1,487,835
1,488,693
1,489,16
1,490,855
1,491,646
1,492,797
1,493,35
1,494,470
1,495,22
1,496,477
1,497,29
1,498,453
1,499,260
1,500,499
2,1,796
2,2,101
2,3,44
2,4,774
2,5,479
2,6,943
2,7,741
2,8,283
2,9,38
2,10,255
2,11,41
2,12,40
2,13,438
2,14,102
2,15,49
2,16,964
2,17,145
2,18,496
2,19,653
2,20,36
2,21,27
2,22,549
2,23,655
2,24,370
2,25,990
2,26,50
2,27,683
2,28,834
2,29,656
2,30,151
2,31,532
2,32,24
2,33,269
2,34,24
2,35,10
2,36,225
2,37,369
2,38,976
2,39,792
2,40,714
2,41,187
2,42,43
2,43,848
2,44,11
2,45,38
2,46,19
2,47,39
2,48,112
2,49,478
2,50,751
2,51,864
2,52,621
2,53,334
2,54,602
2,55,770
2,56,721
2,57,872
2,58,528
2,59,439
2,60,237
2,61,905
2,62,30
2,63,272
2,64,37
2,65,882
2,66,772
2,67,343
2,68,505
2,69,972
2,70,782
2,71,561
2,72,517
2,73,281
2,74,891
2,75,550
2,76,820
2,77,298
2,78,588
2,79,11
2,80,522
2,81,10
2,82,734
2,83,963
2,84,863
2,85,430
2,86,481
2,87,12
2,88,47
2,89,695
2,90,258
2,91,672
2,92,35
2,93,626
2,94,41
2,95,891
2,96,121
