warehouse_id,product_id,current_quantity
1,1,568
1,2,57
1,3,459
1,4,45
1,5,560
1,6,679
1,7,51
1,8,8
1,9,266
1,10,93
1,11,614
1,12,284
1,13,87
1,14,159
1,15,467
1,16,313
1,17,143
1,18,463
1,19,629
1,20,767
1,21,289
1,22,241
1,23,741
1,24,28
1,25,213
1,26,200
1,27,496
1,28,230
1,29,721
1,30,46
1,31,663
1,32,0
1,33,72
1,34,186
1,35,71
1,36,475
1,37,64
1,38,13
1,39,284
1,40,70
1,41,334
1,42,148
1,43,219
1,44,163
1,45,72
1,46,182
1,47,622
1,48,110
1,49,497
1,50,3
1,51,503
1,52,228
1,53,487
1,54,200
1,55,557
1,56,34
1,57,510
1,58,143
1,59,140
1,60,188
1,61,18
1,62,76
1,63,527
1,64,796
1,65,551
1,66,222
1,67,171
1,68,225
1,69,785
1,70,562
1,71,195
1,72,115
1,73,293
1,74,97
1,75,301
1,76,783
1,77,16
1,78,137
1,79,197
1,80,322
1,81,130
1,82,516
1,83,751
1,84,672
1,85,337
1,86,1
1,87,82
1,88,684
1,89,487
1,90,41
1,91,182
1,92,213
1,93,782
1,94,551
1,95,373
1,96,122
1,97,140
1,98,435
1,99,230
1,100,50
1,101,196
1,102,93
1,103,150
1,104,284
1,105,738
1,106,147
1,107,65
1,108,283
1,109,259
1,110,287
1,111,88
1,112,22
1,113,223
1,114,236
1,115,726
1,116,345
1,117,222
1,118,768
1,119,728
1,120,378
1,121,57
1,122,612
1,123,178
1,124,87
1,125,295
1,126,64
1,127,550
1,128,707
1,129,693
1,130,44
1,131,715
1,132,314
1,133,377
1,134,84
1,135,192
1,136,544
1,137,87
1,138,74
1,139,617
1,140,54
1,141,638
1,142,31
1,143,115
1,144,52
1,145,285
1,146,9
1,147,276
1,148,121
1,149,751
1,150,243
1,151,236
1,152,434
1,153,616
1,154,54
1,155,650
1,156,177
1,157,757
1,158,124
1,159,164
1,160,236
1,161,698
1,162,449
1,163,17
1,164,334
1,165,222
1,166,446
1,167,146
1,168,732
1,169,322
1,170,65
1,171,260
1,172,154
1,173,734
1,174,277
1,175,93
1,176,34
1,177,138
1,178,308
1,179,16
1,180,602
1,181,436
1,182,43
1,183,201
1,184,42
1,185,425
1,186,653
1,187,109
1,188,49
1,189,26
1,190,411
1,191,537
1,192,707
1,193,671
1,194,621
1,195,141
1,196,72
1,197,7
1,198,615
1,199,280
1,200,171
1,201,367
1,202,407
1,203,126
1,204,226
1,205,68
1,206,126
1,207,204
1,208,36
1,209,709
1,210,737
1,211,285
1,212,473
1,213,610
1,214,273
1,215,126
1,216,693
1,217,100
1,218,115
1,219,352
1,220,103
1,221,190
1,222,273
1,223,431
1,224,117
1,225,653
1,226,68
1,227,548
1,228,755
1,229,289
1,230,213
1,231,50
1,232,177
1,233,137
1,234,608
1,235,596
1,236,421
1,237,33
1,238,9
1,239,146
1,240,124
1,241,274
1,242,126
1,243,237
1,244,232
1,245,456
1,246,785
1,247,313
1,248,315
1,249,410
1,250,59
1,251,591
1,252,61
1,253,459
1,254,142
1,255,437
1,256,183
1,257,712
1,258,90
1,259,222
1,260,774
1,261,473
1,262,464
1,263,487
1,264,312
1,265,544
1,266,124
1,267,152
1,268,53
1,269,749
1,270,750
1,271,488
1,272,738
1,273,30
1,274,618
1,275,770
1,276,793
1,277,296
1,278,114
1,279,200
1,280,67
1,281,407
1,282,509
1,283,280
1,284,49
1,285,407
1,286,54
1,287,367
1,288,58
1,289,579
1,290,146
1,291,291
1,292,612
1,293,93
1,294,35
1,295,163
1,296,119
1,297,277
1,298,554
1,299,183
1,300,529
1,301,321
1,302,51
1,303,214
1,304,122
1,305,465
1,306,125
1,307,234
1,308,194
1,309,242
1,310,196
1,311,233
1,312,76
1,313,434
1,314,395
1,315,227
1,316,137
1,317,64
1,318,86
1,319,45
1,320,597
1,321,249
1,322,433
1,323,789
1,324,275
1,325,432
1,326,260
1,327,140
1,328,140
1,329,114
1,330,12
1,331,165
1,332,280
1,333,106
1,334,23
1,335,122
1,336,458
1,337,239
1,338,777
1,339,13
1,340,95
1,341,8
1,342,96
1,343,723
1,344,738
1,345,86
1,346,586
1,347,682
1,348,461
1,349,207
1,350,30
1,351,128
1,352,160
1,353,119
1,354,165
1,355,361
1,356,542
1,357,449
1,358,278
1,359,69
1,360,190
1,361,130
1,362,172
1,363,234
1,364,253
1,365,85
1,366,413
1,367,566
1,368,292
1,369,169
1,370,408
1,371,270
1,372,228
1,373,240
1,374,649
1,375,416
1,376,79
1,377,657
1,378,41
1,379,298
1,380,413
1,381,231
1,382,354
1,383,115
1,384,444
1,385,167
1,386,152
1,387,31
1,388,585
1,389,613
1,390,28
1,391,727
1,392,123
1,393,56
1,394,283
1,395,402
1,396,85
1,397,221
1,398,716
1,399,588
1,400,629
1,401,193
1,402,136
1,403,79
1,404,288
1,405,558
1,406,613
1,407,746
1,408,429
1,409,782
1,410,194
1,411,538
1,412,530
1,413,122
1,414,619
1,415,755
1,416,186
1,417,222
1,418,248
1,419,729
1,420,249
1,421,4
1,422,262
1,423,89
1,424,587
1,425,632
1,426,164
1,427,145
1,428,356
1,429,82
1,430,453
1,431,529
1,432,63
1,433,440
1,434,397
1,435,326
1,436,373
1,437,183
1,438,106
1,439,290
1,440,7
1,441,35
1,442,518
1,443,18
1,444,399
1,445,248
1,446,459
1,447,49
1,448,593
1,449,151
1,450,137
1,451,769
1,452,699
1,453,98
1,454,500
1,455,666
1,456,128
1,457,208
1,458,147
1,459,799
1,460,730
1,461,44
1,462,162
1,463,684
1,464,8
1,465,466
1,466,667
1,467,531
1,468,479
1,469,785
1,470,170
1,471,714
1,472,139
1,473,94
1,474,222
1,475,140
1,476,161
1,477,256
1,478,308
1,479,246
1,480,200
1,481,558
1,482,208
1,483,482
1,484,237
1,485,65
1,486,658
1,487,196
1,488,613
1,489,232
1,490,758
1,491,656
1,492,265
1,493,295
1,494,704
1,495,686
1,496,365
1,497,334
1,498,177
1,499,140
1,500,31
2,1,679
2,2,217
2,3,766
2,4,261
2,5,468
2,6,157
2,7,607
2,8,2
2,9,434
2,10,260
2,11,78
2,12,107
2,13,675
2,14,484
2,15,32
2,16,144
2,17,42
2,18,66
2,19,297
2,20,106
2,21,66
2,22,732
2,23,143
2,24,373
2,25,644
2,26,292
2,27,71
2,28,558
2,29,467
2,30,290
2,31,486
2,32,261
2,33,270
2,34,65
2,35,64
2,36,553
2,37,202
2,38,360
2,39,313
2,40,793
2,41,151
2,42,763
2,43,654
2,44,13
2,45,538
2,46,27
2,47,30
2,48,289
2,49,171
2,50,274
2,51,232
2,52,125
2,53,638
2,54,470
2,55,171
2,56,680
2,57,387
2,58,298
2,59,206
2,60,177
2,61,343
2,62,474
2,63,207
2,64,116
2,65,648
2,66,0
2,67,704
2,68,91
2,69,122
2,70,267
2,71,177
2,72,455
2,73,238
2,74,133
2,75,280
2,76,184
2,77,105
2,78,8
2,79,344
2,80,72
2,81,482
2,82,21
2,83,86
2,84,56
2,85,66
2,86,240
2,87,219
2,88,92
2,89,581
2,90,787
2,91,32
2,92,143
2,93,183
2,94,461
2,95,553
2,96,273
2,97,280
2,98,225
2,99,315
2,100,578
2,101,83
2,102,163
2,103,288
2,104,154
2,105,594
2,106,178
2,107,230
2,108,13
2,109,35
2,110,724
2,111,237
2,112,580
2,113,574
2,114,234
2,115,294
2,116,22
2,117,156
2,118,443
2,119,96
2,120,30
2,121,255
2,122,255
2,123,222
2,124,136
2,125,562
2,126,440
2,127,676
2,128,547
2,129,712
2,130,12
2,131,513
2,132,133
2,133,246
2,134,270
2,135,115
2,136,138
2,137,5
2,138,56
2,139,290
2,140,717
2,141,63
2,142,459
2,143,771
2,144,757
2,145,379
2,146,121
2,147,551
2,148,45
2,149,103
2,150,254
2,151,52
2,152,109
2,153,522
2,154,97
2,155,286
2,156,722
2,157,548
2,158,333
2,159,113
2,160,346
2,161,325
2,162,15
2,163,215
2,164,2
2,165,195
2,166,199
2,167,184
2,168,595
2,169,71
2,170,608
2,171,107
2,172,609
2,173,223
2,174,433
2,175,11
2,176,248
2,177,507
2,178,300
2,179,96
2,180,777
2,181,162
2,182,193
2,183,433
2,184,485
2,185,184
2,186,292
2,187,238
2,188,614
2,189,137
2,190,676
2,191,13
2,192,409
2,193,191
2,194,183
2,195,68
2,196,29
2,197,263
2,198,606
2,199,709
2,200,533
2,201,419
2,202,183
2,203,225
2,204,186
2,205,119
2,206,483
2,207,740
2,208,647
2,209,229
2,210,349
2,211,215
2,212,2
2,213,85
2,214,79
2,215,399
2,216,659
2,217,143
2,218,71
2,219,187
2,220,412
2,221,22
2,222,463
2,223,423
2,224,432
2,225,342
2,226,535
2,227,637
2,228,740
2,229,414
2,230,292
2,231,792
2,232,284
2,233,152
2,234,319
2,235,239
2,236,62
2,237,679
2,238,204
2,239,398
2,240,290
2,241,476
2,242,191
2,243,154
2,244,237
2,245,672
2,246,2
2,247,51
2,248,401
2,249,128
2,250,194
2,251,290
2,252,722
2,253,47
2,254,149
2,255,68
2,256,159
2,257,423
2,258,267
2,259,584
2,260,49
2,261,560
2,262,237
2,263,36
2,264,385
2,265,72
2,266,371
2,267,680
2,268,782
2,269,419
2,270,273
2,271,655
2,272,776
2,273,130
2,274,216
2,275,160
2,276,136
2,277,762
2,278,226
2,279,410
2,280,345
2,281,772
2,282,396
2,283,362
2,284,367
2,285,110
2,286,181
2,287,160
2,288,404
2,289,148
2,290,187
2,291,49
2,292,153
2,293,434
2,294,270
2,295,206
2,296,202
2,297,86
2,298,44
2,299,12
2,300,80
2,301,126
2,302,684
2,303,287
2,304,132
2,305,282
2,306,473
2,307,547
2,308,205
2,309,296
2,310,674
2,311,146
2,312,249
2,313,30
2,314,48
2,315,584
2,316,194
2,317,693
2,318,79
2,319,209
2,320,268
2,321,36
2,322,756
2,323,514
2,324,723
2,325,147
2,326,175
2,327,270
2,328,599
2,329,27
2,330,29
2,331,526
2,332,151
2,333,313
2,334,265
2,335,79
2,336,263
2,337,515
2,338,114
2,339,38
2,340,173
2,341,590
2,342,204
2,343,639
2,344,537
2,345,444
2,346,349
2,347,276
2,348,83
2,349,299
2,350,290
2,351,419
2,352,4
2,353,308
2,354,274
2,355,535
2,356,536
2,357,14
2,358,178
2,359,111
2,360,552
2,361,580
2,362,119
2,363,279
2,364,321
2,365,437
2,366,486
2,367,360
2,368,291
2,369,384
2,370,87
2,371,28
2,372,561
2,373,483
2,374,438
2,375,33
2,376,172
2,377,44
2,378,95
2,379,600
2,380,197
2,381,286
2,382,290
2,383,515
2,384,295
2,385,52
2,386,232
2,387,614
2,388,652
2,389,250
2,390,603
2,391,156
2,392,80
2,393,441
2,394,103
2,395,281
2,396,36
2,397,280
2,398,63
2,399,342
2,400,195
2,401,40
2,402,6
2,403,150
2,404,221
2,405,121
2,406,349
2,407,156
2,408,759
2,409,168
2,410,430
2,411,229
2,412,13
2,413,508
2,414,483
2,415,332
2,416,270
2,417,84
2,418,394
2,419,782
2,420,0
2,421,259
2,422,327
2,423,65
2,424,34
2,425,205
2,426,245
2,427,95
2,428,239
2,429,235
2,430,295
2,431,291
2,432,108
2,433,311
2,434,110
2,435,478
2,436,312
2,437,213
2,438,261
2,439,272
2,440,481
2,441,507
2,442,81
2,443,735
2,444,177
2,445,617
2,446,389
2,447,132
2,448,137
2,449,554
2,450,211
2,451,491
2,452,219
2,453,0
2,454,292
2,455,431
2,456,299
2,457,333
2,458,262
2,459,270
2,460,486
2,461,171
2,462,290
2,463,582
2,464,788
2,465,424
2,466,752
2,467,799
2,468,272
2,469,182
2,470,374
2,471,12
2,472,715
2,473,28
2,474,682
2,475,756
2,476,192
2,477,296
2,478,586
2,479,85
2,480,150
2,481,688
2,482,625
2,483,22
2,484,469
2,485,163
2,486,272
2,487,172
2,488,69
2,489,590
2,490,279
2,491,29
2,492,476
2,493,100
2,494,492
2,495,329
2,496,23
2,497,21
2,498,158
2,499,717
2,500,36
3,1,76
3,2,674
3,3,127
3,4,551
3,5,70
3,6,406
3,7,209
3,8,708
3,9,98
3,10,109
3,11,158
3,12,54
3,13,444
3,14,271
3,15,252
3,16,463
3,17,31
3,18,665
3,19,611
3,20,89
3,21,413
3,22,191
3,23,363
3,24,245
3,25,562
3,26,67
3,27,124
3,28,509
3,29,235
3,30,397
3,31,621
3,32,128
3,33,701
3,34,725
3,35,671
3,36,11
3,37,485
3,38,171
3,39,31
3,40,139
3,41,62
3,42,406
3,43,243
3,44,111
3,45,333
